state,county,biden_county_votes,trump_county_votes,total_county_votes,county_winner,biden_county_percent,trump_county_percent
Colorado,Alamosa County,3759,3813,7808,trump,0.481429303278689,0.488345286885246
Colorado,Arapahoe County,213673,127356,350283,biden,0.610001056288772,0.363580305067617
Colorado,Archuleta County,3738,5189,9144,trump,0.408792650918635,0.567475940507437
Colorado,Baca County,317,1867,2225,trump,0.14247191011236,0.839101123595506
Colorado,Bent County,732,1503,2274,trump,0.321899736147757,0.660949868073879
Colorado,Boulder County,159089,42501,206111,biden,0.771860793455953,0.206204423829878
Colorado,Broomfield County,29077,16295,46632,biden,0.623541773889175,0.3494381540573
Colorado,Chaffee County,7160,6222,13717,biden,0.521980024786761,0.453597725450171
Colorado,Cheyenne County,131,993,1136,trump,0.115316901408451,0.874119718309859
Colorado,Clear Creek County,3604,2754,6548,biden,0.550397067806964,0.420586438607208
Colorado,Conejos County,1959,2286,4333,trump,0.452111700900069,0.527579044541888
Colorado,Costilla County,1311,741,2094,biden,0.626074498567335,0.353868194842407
Colorado,Crowley County,437,1271,1750,trump,0.249714285714286,0.726285714285714
Colorado,Custer County,1111,2471,3630,trump,0.306060606060606,0.680716253443526
Colorado,Delta County,5887,13081,19370,trump,0.303923593185338,0.675322663913268
Colorado,Denver County,313292,71617,393824,biden,0.795512716340294,0.181850268140083
Colorado,Dolores County,341,1089,1449,trump,0.235334713595583,0.751552795031056
Colorado,Douglas County,104653,121270,231599,trump,0.451871553849542,0.52362056830988
Colorado,Eagle County,18588,9891,29139,biden,0.63790795840626,0.339441984968599
Colorado,El Paso County,161636,202560,378234,trump,0.427343919372663,0.535541490188613
Colorado,Elbert County,4490,14027,18983,trump,0.236527419269873,0.738924300690091
Colorado,Fremont County,7369,17517,25557,trump,0.28833587666784,0.685409085573424
Colorado,Garfield County,15427,14717,30904,biden,0.49919104323065,0.476216670981103
Colorado,Gilpin County,2222,1833,4185,biden,0.530943847072879,0.437992831541219
Colorado,Grand County,4709,4883,9869,trump,0.477150673827135,0.494781639477151
Colorado,Gunnison County,6976,3599,10887,biden,0.640764214200423,0.330577753283733
Colorado,Hinsdale County,255,353,632,trump,0.403481012658228,0.558544303797468
Colorado,Huerfano County,2076,2203,4406,trump,0.471175669541534,0.5
Colorado,Jackson County,175,681,876,trump,0.199771689497717,0.777397260273973
Colorado,Jefferson County,218396,148417,377357,biden,0.57875168606916,0.393306603561084
Colorado,Kiowa County,98,795,903,trump,0.108527131782946,0.880398671096346
Colorado,Kit Carson County,662,3143,3870,trump,0.171059431524548,0.812144702842377
Colorado,La Plata County,20548,14233,35667,biden,0.576106765357333,0.399052345305184
Colorado,Lake County,2303,1497,3961,biden,0.581418833627872,0.377934864933098
Colorado,Larimer County,126120,91489,224338,biden,0.562187413634783,0.407817667983133
Colorado,Las Animas County,3497,4284,7961,trump,0.439266423816103,0.538123351337772
Colorado,Lincoln County,470,2135,2651,trump,0.17729158807997,0.805356469256884
Colorado,Logan County,2218,8087,10532,trump,0.210596278009875,0.767850360805165
Colorado,Mesa County,31536,56894,90622,trump,0.347994968109289,0.627816644964799
Colorado,Mineral County,317,427,756,trump,0.419312169312169,0.564814814814815
Colorado,Moffat County,1203,5670,7026,trump,0.171221178479932,0.807002561912895
Colorado,Montezuma County,5836,9306,15500,trump,0.376516129032258,0.600387096774194
Colorado,Montrose County,7687,16770,24922,trump,0.308442340101115,0.67289944627237
Colorado,Morgan County,3876,9593,13744,trump,0.282013969732247,0.697977299185099
Colorado,Otero County,3605,5756,9576,trump,0.376461988304094,0.60108604845447
Colorado,Ouray County,2365,1577,4020,biden,0.588308457711443,0.39228855721393
Colorado,Park County,4903,6990,12289,trump,0.398974692814712,0.568801367076247
Colorado,Phillips County,486,1958,2485,trump,0.195573440643863,0.787927565392354
Colorado,Pitkin County,8989,2780,11957,biden,0.751777201639207,0.232499790917454
Colorado,Prowers County,1458,4008,5561,trump,0.262183060600611,0.720733680992627
Colorado,Pueblo County,43772,42252,88299,biden,0.495724753394716,0.478510515407876
Colorado,Rio Blanco County,561,3061,3691,trump,0.151991330262801,0.829314548902736
Colorado,Rio Grande County,2495,3660,6305,trump,0.395717684377478,0.580491673275178
Colorado,Routt County,10582,5925,16876,biden,0.62704432329936,0.351090305759659
Colorado,Saguache County,1884,1413,3389,biden,0.55591619946887,0.416937149601652
Colorado,San Juan County,342,202,563,biden,0.607460035523979,0.358792184724689
Colorado,San Miguel County,3923,1136,5146,biden,0.762339681305869,0.220753983676642
